method,subtask,metric,mean,std,ci95_lo,ci95_hi,n_seeds,seed_list
APIAR,LogP,similarity,0.756487,0.021762,0.702423,0.810552,3,"42,123,456"
APIAR,LogP,sr_x_sim,0.197654,0.018095,0.152699,0.242608,3,"42,123,456"
APIAR,LogP,success_rate,0.261333,0.024001,0.201706,0.320960,3,"42,123,456"
APIAR,LogP,successful_optimizations,1306.666667,120.005555,1008.532280,1604.801053,3,"42,123,456"
APIAR,LogP,total_molecules,5000.000000,0.000000,5000.000000,5000.000000,3,"42,123,456"
APIAR,LogP,valid_molecules,3015.000000,226.059727,2453.391184,3576.608816,3,"42,123,456"
APIAR,LogP,validity,0.603000,0.045212,0.490678,0.715322,3,"42,123,456"
APIAR,MR,similarity,0.822059,0.018055,0.777204,0.866913,3,"42,123,456"
APIAR,MR,sr_x_sim,0.190380,0.017308,0.147381,0.233379,3,"42,123,456"
APIAR,MR,success_rate,0.231400,0.016910,0.189389,0.273411,3,"42,123,456"
APIAR,MR,successful_optimizations,1157.000000,84.551759,946.944834,1367.055166,3,"42,123,456"
APIAR,MR,total_molecules,5000.000000,0.000000,5000.000000,5000.000000,3,"42,123,456"
APIAR,MR,valid_molecules,3029.333333,270.278252,2357.870746,3700.795921,3,"42,123,456"
APIAR,MR,validity,0.605867,0.054056,0.471574,0.740159,3,"42,123,456"
APIAR,QED,similarity,0.793216,0.031945,0.713853,0.872578,3,"42,123,456"
APIAR,QED,sr_x_sim,0.143973,0.014113,0.108911,0.179036,3,"42,123,456"
APIAR,QED,success_rate,0.182000,0.023215,0.124327,0.239673,3,"42,123,456"
APIAR,QED,successful_optimizations,910.000000,116.073253,621.634783,1198.365217,3,"42,123,456"
APIAR,QED,total_molecules,5000.000000,0.000000,5000.000000,5000.000000,3,"42,123,456"
APIAR,QED,valid_molecules,3139.000000,297.504622,2399.897901,3878.102099,3,"42,123,456"
APIAR,QED,validity,0.627800,0.059501,0.479980,0.775620,3,"42,123,456"
APIAR-Hard,LogP,similarity,0.920734,0.006360,0.904934,0.936533,3,"42,123,456"
APIAR-Hard,LogP,sr_x_sim,0.092985,0.014706,0.056451,0.129518,3,"42,123,456"
APIAR-Hard,LogP,success_rate,0.101067,0.016729,0.059507,0.142627,3,"42,123,456"
APIAR-Hard,LogP,successful_optimizations,505.333333,83.644087,297.533131,713.133535,3,"42,123,456"
APIAR-Hard,LogP,total_molecules,5000.000000,0.000000,5000.000000,5000.000000,3,"42,123,456"
APIAR-Hard,LogP,valid_molecules,3410.333333,102.163268,3156.525223,3664.141444,3,"42,123,456"
APIAR-Hard,LogP,validity,0.682067,0.020433,0.631305,0.732828,3,"42,123,456"
APIAR-Hard,MR,similarity,0.947853,0.010591,0.921541,0.974165,3,"42,123,456"
APIAR-Hard,MR,sr_x_sim,0.071615,0.014042,0.036730,0.106501,3,"42,123,456"
APIAR-Hard,MR,success_rate,0.075667,0.015700,0.036662,0.114671,3,"42,123,456"
APIAR-Hard,MR,successful_optimizations,378.333333,78.500531,183.311465,573.355201,3,"42,123,456"
APIAR-Hard,MR,total_molecules,5000.000000,0.000000,5000.000000,5000.000000,3,"42,123,456"
APIAR-Hard,MR,valid_molecules,3663.333333,116.629042,3373.587349,3953.079317,3,"42,123,456"
APIAR-Hard,MR,validity,0.732667,0.023326,0.674717,0.790616,3,"42,123,456"
APIAR-Hard,QED,similarity,0.953782,0.010023,0.928883,0.978681,3,"42,123,456"
APIAR-Hard,QED,sr_x_sim,0.044558,0.010948,0.017361,0.071756,3,"42,123,456"
APIAR-Hard,QED,success_rate,0.046800,0.012022,0.016934,0.076666,3,"42,123,456"
APIAR-Hard,QED,successful_optimizations,234.000000,60.108236,84.670813,383.329187,3,"42,123,456"
APIAR-Hard,QED,total_molecules,5000.000000,0.000000,5000.000000,5000.000000,3,"42,123,456"
APIAR-Hard,QED,valid_molecules,3837.000000,164.380656,3428.622856,4245.377144,3,"42,123,456"
APIAR-Hard,QED,validity,0.767400,0.032876,0.685725,0.849075,3,"42,123,456"
Abl: bank-only,LogP,similarity,0.784020,0.014803,0.747245,0.820795,3,"42,123,456"
Abl: bank-only,LogP,sr_x_sim,0.191964,0.013521,0.158374,0.225553,3,"42,123,456"
Abl: bank-only,LogP,success_rate,0.244733,0.013985,0.209990,0.279476,3,"42,123,456"
Abl: bank-only,LogP,successful_optimizations,1223.666667,69.923768,1049.952378,1397.380955,3,"42,123,456"
Abl: bank-only,LogP,total_molecules,5000.000000,0.000000,5000.000000,5000.000000,3,"42,123,456"
Abl: bank-only,LogP,valid_molecules,3076.000000,172.988439,2646.238212,3505.761788,3,"42,123,456"
Abl: bank-only,LogP,validity,0.615200,0.034598,0.529248,0.701152,3,"42,123,456"
Abl: bank-only,MR,similarity,0.848452,0.021482,0.795084,0.901821,3,"42,123,456"
Abl: bank-only,MR,sr_x_sim,0.178115,0.007944,0.158380,0.197850,3,"42,123,456"
Abl: bank-only,MR,success_rate,0.210000,0.010243,0.184553,0.235447,3,"42,123,456"
Abl: bank-only,MR,successful_optimizations,1050.000000,51.215232,922.764042,1177.235958,3,"42,123,456"
Abl: bank-only,MR,total_molecules,5000.000000,0.000000,5000.000000,5000.000000,3,"42,123,456"
Abl: bank-only,MR,valid_molecules,3134.333333,161.202771,2733.851130,3534.815536,3,"42,123,456"
Abl: bank-only,MR,validity,0.626867,0.032241,0.546770,0.706963,3,"42,123,456"
Abl: bank-only,QED,similarity,0.829748,0.023848,0.770501,0.888995,3,"42,123,456"
Abl: bank-only,QED,sr_x_sim,0.127533,0.012513,0.096446,0.158620,3,"42,123,456"
Abl: bank-only,QED,success_rate,0.154067,0.019279,0.106170,0.201963,3,"42,123,456"
Abl: bank-only,QED,successful_optimizations,770.333333,96.396750,530.851205,1009.815462,3,"42,123,456"
Abl: bank-only,QED,total_molecules,5000.000000,0.000000,5000.000000,5000.000000,3,"42,123,456"
Abl: bank-only,QED,valid_molecules,3335.666667,350.017619,2466.104523,4205.228810,3,"42,123,456"
Abl: bank-only,QED,validity,0.667133,0.070004,0.493221,0.841046,3,"42,123,456"
Abl: beta-only,LogP,similarity,0.791846,0.023050,0.734582,0.849110,3,"42,123,456"
Abl: beta-only,LogP,sr_x_sim,0.186093,0.017162,0.143458,0.228728,3,"42,123,456"
Abl: beta-only,LogP,success_rate,0.235400,0.026312,0.170032,0.300768,3,"42,123,456"
Abl: beta-only,LogP,successful_optimizations,1177.000000,131.559872,850.160783,1503.839217,3,"42,123,456"
Abl: beta-only,LogP,total_molecules,5000.000000,0.000000,5000.000000,5000.000000,3,"42,123,456"
Abl: beta-only,LogP,valid_molecules,3152.666667,155.313661,2766.815004,3538.518329,3,"42,123,456"
Abl: beta-only,LogP,validity,0.630533,0.031063,0.553363,0.707704,3,"42,123,456"
Abl: beta-only,MR,similarity,0.861792,0.022515,0.805857,0.917727,3,"42,123,456"
Abl: beta-only,MR,sr_x_sim,0.179102,0.017548,0.135507,0.222696,3,"42,123,456"
Abl: beta-only,MR,success_rate,0.208267,0.025644,0.144558,0.271975,3,"42,123,456"
Abl: beta-only,MR,successful_optimizations,1041.333333,128.219863,722.791828,1359.874839,3,"42,123,456"
Abl: beta-only,MR,total_molecules,5000.000000,0.000000,5000.000000,5000.000000,3,"42,123,456"
Abl: beta-only,MR,valid_molecules,3209.333333,90.754247,2983.869090,3434.797577,3,"42,123,456"
Abl: beta-only,MR,validity,0.641867,0.018151,0.596774,0.686960,3,"42,123,456"
Abl: beta-only,QED,similarity,0.840178,0.021812,0.785989,0.894368,3,"42,123,456"
Abl: beta-only,QED,sr_x_sim,0.122001,0.017056,0.079627,0.164374,3,"42,123,456"
Abl: beta-only,QED,success_rate,0.145600,0.024152,0.085598,0.205602,3,"42,123,456"
Abl: beta-only,QED,successful_optimizations,728.000000,120.760093,427.991088,1028.008912,3,"42,123,456"
Abl: beta-only,QED,total_molecules,5000.000000,0.000000,5000.000000,5000.000000,3,"42,123,456"
Abl: beta-only,QED,valid_molecules,3377.000000,200.327232,2879.319403,3874.680597,3,"42,123,456"
Abl: beta-only,QED,validity,0.675400,0.040065,0.575864,0.774936,3,"42,123,456"
C1: Iterative SFT,LogP,similarity,0.749256,0.021922,0.694793,0.803718,3,"42,123,456"
C1: Iterative SFT,LogP,sr_x_sim,0.188804,0.046038,0.074432,0.303177,3,"42,123,456"
C1: Iterative SFT,LogP,success_rate,0.250933,0.055072,0.114117,0.387750,3,"42,123,456"
C1: Iterative SFT,LogP,successful_optimizations,1254.666667,275.358554,570.582890,1938.750444,3,"42,123,456"
C1: Iterative SFT,LogP,total_molecules,5000.000000,0.000000,5000.000000,5000.000000,3,"42,123,456"
C1: Iterative SFT,LogP,valid_molecules,2830.000000,574.343974,1403.135322,4256.864678,3,"42,123,456"
C1: Iterative SFT,LogP,validity,0.566000,0.114869,0.280627,0.851373,3,"42,123,456"
C1: Iterative SFT,MR,similarity,0.821323,0.005223,0.808347,0.834299,3,"42,123,456"
C1: Iterative SFT,MR,sr_x_sim,0.173625,0.034596,0.087677,0.259572,3,"42,123,456"
C1: Iterative SFT,MR,success_rate,0.211400,0.042186,0.106596,0.316204,3,"42,123,456"
C1: Iterative SFT,MR,successful_optimizations,1057.000000,210.928898,532.981280,1581.018720,3,"42,123,456"
C1: Iterative SFT,MR,total_molecules,5000.000000,0.000000,5000.000000,5000.000000,3,"42,123,456"
C1: Iterative SFT,MR,valid_molecules,3021.000000,463.102580,1870.496565,4171.503435,3,"42,123,456"
C1: Iterative SFT,MR,validity,0.604200,0.092621,0.374099,0.834301,3,"42,123,456"
C1: Iterative SFT,QED,similarity,0.815754,0.015609,0.776978,0.854531,3,"42,123,456"
C1: Iterative SFT,QED,sr_x_sim,0.125746,0.020062,0.075906,0.175586,3,"42,123,456"
C1: Iterative SFT,QED,success_rate,0.153933,0.022557,0.097894,0.209972,3,"42,123,456"
C1: Iterative SFT,QED,successful_optimizations,769.666667,112.784455,489.471935,1049.861398,3,"42,123,456"
C1: Iterative SFT,QED,total_molecules,5000.000000,0.000000,5000.000000,5000.000000,3,"42,123,456"
C1: Iterative SFT,QED,valid_molecules,3176.666667,514.518545,1898.428586,4454.904747,3,"42,123,456"
C1: Iterative SFT,QED,validity,0.635333,0.102904,0.379686,0.890981,3,"42,123,456"
C2: Offline-Str.,LogP,similarity,0.781421,0.050327,0.656391,0.906451,3,"42,123,456"
C2: Offline-Str.,LogP,sr_x_sim,0.197399,0.013183,0.164648,0.230151,3,"42,123,456"
C2: Offline-Str.,LogP,success_rate,0.252600,0.003175,0.244712,0.260488,3,"42,123,456"
C2: Offline-Str.,LogP,successful_optimizations,1263.000000,15.874508,1223.562354,1302.437646,3,"42,123,456"
C2: Offline-Str.,LogP,total_molecules,5000.000000,0.000000,5000.000000,5000.000000,3,"42,123,456"
C2: Offline-Str.,LogP,valid_molecules,3293.000000,418.477001,2253.361598,4332.638402,3,"42,123,456"
C2: Offline-Str.,LogP,validity,0.658600,0.083695,0.450672,0.866528,3,"42,123,456"
C2: Offline-Str.,MR,similarity,0.841191,0.043271,0.733691,0.948691,3,"42,123,456"
C2: Offline-Str.,MR,sr_x_sim,0.185308,0.007759,0.166031,0.204585,3,"42,123,456"
C2: Offline-Str.,MR,success_rate,0.220600,0.012400,0.189794,0.251406,3,"42,123,456"
C2: Offline-Str.,MR,successful_optimizations,1103.000000,62.000000,948.971031,1257.028969,3,"42,123,456"
C2: Offline-Str.,MR,total_molecules,5000.000000,0.000000,5000.000000,5000.000000,3,"42,123,456"
C2: Offline-Str.,MR,valid_molecules,3335.333333,344.124009,2480.412910,4190.253756,3,"42,123,456"
C2: Offline-Str.,MR,validity,0.667067,0.068825,0.496083,0.838051,3,"42,123,456"
C2: Offline-Str.,QED,similarity,0.852438,0.046499,0.736919,0.967958,3,"42,123,456"
C2: Offline-Str.,QED,sr_x_sim,0.112977,0.018697,0.066526,0.159428,3,"42,123,456"
C2: Offline-Str.,QED,success_rate,0.133600,0.029738,0.059722,0.207478,3,"42,123,456"
C2: Offline-Str.,QED,successful_optimizations,668.000000,148.687592,298.609734,1037.390266,3,"42,123,456"
C2: Offline-Str.,QED,total_molecules,5000.000000,0.000000,5000.000000,5000.000000,3,"42,123,456"
C2: Offline-Str.,QED,valid_molecules,3556.333333,430.843746,2485.971754,4626.694913,3,"42,123,456"
C2: Offline-Str.,QED,validity,0.711267,0.086169,0.497194,0.925339,3,"42,123,456"
GRPO,LogP,similarity,0.872774,0.025789,0.808707,0.936841,3,"42,123,456"
GRPO,LogP,sr_x_sim,0.122207,0.019426,0.073946,0.170468,3,"42,123,456"
GRPO,LogP,success_rate,0.140533,0.026054,0.075806,0.205260,3,"42,123,456"
GRPO,LogP,successful_optimizations,702.666667,130.270232,379.031352,1026.301981,3,"42,123,456"
GRPO,LogP,total_molecules,5000.000000,0.000000,5000.000000,5000.000000,3,"42,123,456"
GRPO,LogP,valid_molecules,3205.666667,55.139218,3068.682201,3342.651132,3,"42,123,456"
GRPO,LogP,validity,0.641133,0.011028,0.613736,0.668530,3,"42,123,456"
GRPO,MR,similarity,0.897413,0.026307,0.832058,0.962768,3,"42,123,456"
GRPO,MR,sr_x_sim,0.095567,0.022911,0.038649,0.152485,3,"42,123,456"
GRPO,MR,success_rate,0.106933,0.028229,0.036804,0.177063,3,"42,123,456"
GRPO,MR,successful_optimizations,534.666667,141.142954,184.019834,885.313499,3,"42,123,456"
GRPO,MR,total_molecules,5000.000000,0.000000,5000.000000,5000.000000,3,"42,123,456"
GRPO,MR,valid_molecules,3413.333333,202.880096,2909.310559,3917.356107,3,"42,123,456"
GRPO,MR,validity,0.682667,0.040576,0.581862,0.783471,3,"42,123,456"
GRPO,QED,similarity,0.899736,0.024702,0.838368,0.961104,3,"42,123,456"
GRPO,QED,sr_x_sim,0.069897,0.010483,0.043854,0.095940,3,"42,123,456"
GRPO,QED,success_rate,0.077933,0.013614,0.044112,0.111754,3,"42,123,456"
GRPO,QED,successful_optimizations,389.666667,68.068593,220.561261,558.772073,3,"42,123,456"
GRPO,QED,total_molecules,5000.000000,0.000000,5000.000000,5000.000000,3,"42,123,456"
GRPO,QED,valid_molecules,3573.666667,122.785721,3268.625408,3878.707925,3,"42,123,456"
GRPO,QED,validity,0.714733,0.024557,0.653725,0.775742,3,"42,123,456"
RePO,LogP,similarity,0.792465,0.003926,0.782713,0.802218,3,"42,123,456"
RePO,LogP,sr_x_sim,0.187657,0.013166,0.154947,0.220366,3,"42,123,456"
RePO,LogP,success_rate,0.236800,0.016586,0.195596,0.278004,3,"42,123,456"
RePO,LogP,successful_optimizations,1184.000000,82.927679,977.979598,1390.020402,3,"42,123,456"
RePO,LogP,total_molecules,5000.000000,0.000000,5000.000000,5000.000000,3,"42,123,456"
RePO,LogP,valid_molecules,3169.000000,243.181003,2564.856144,3773.143856,3,"42,123,456"
RePO,LogP,validity,0.633800,0.048636,0.512971,0.754629,3,"42,123,456"
RePO,MR,similarity,0.853411,0.010008,0.828547,0.878275,3,"42,123,456"
RePO,MR,sr_x_sim,0.185962,0.015422,0.147649,0.224275,3,"42,123,456"
RePO,MR,success_rate,0.218067,0.020723,0.166583,0.269550,3,"42,123,456"
RePO,MR,successful_optimizations,1090.333333,103.616279,832.915452,1347.751215,3,"42,123,456"
RePO,MR,total_molecules,5000.000000,0.000000,5000.000000,5000.000000,3,"42,123,456"
RePO,MR,valid_molecules,3297.666667,111.804890,3019.905508,3575.427826,3,"42,123,456"
RePO,MR,validity,0.659533,0.022361,0.603981,0.715086,3,"42,123,456"
RePO,QED,similarity,0.838316,0.005125,0.825584,0.851048,3,"42,123,456"
RePO,QED,sr_x_sim,0.125837,0.005711,0.111649,0.140025,3,"42,123,456"
RePO,QED,success_rate,0.150133,0.007564,0.131342,0.168925,3,"42,123,456"
RePO,QED,successful_optimizations,750.666667,37.819748,656.709622,844.623711,3,"42,123,456"
RePO,QED,total_molecules,5000.000000,0.000000,5000.000000,5000.000000,3,"42,123,456"
RePO,QED,valid_molecules,3340.000000,180.831413,2890.753611,3789.246389,3,"42,123,456"
RePO,QED,validity,0.668000,0.036166,0.578151,0.757849,3,"42,123,456"
RePO-Hard,LogP,similarity,0.885904,0.041888,0.781840,0.989967,3,"42,123,456"
RePO-Hard,LogP,sr_x_sim,0.106055,0.015391,0.067819,0.144291,3,"42,123,456"
RePO-Hard,LogP,success_rate,0.120400,0.023132,0.062933,0.177867,3,"42,123,456"
RePO-Hard,LogP,successful_optimizations,602.000000,115.658981,314.663973,889.336027,3,"42,123,456"
RePO-Hard,LogP,total_molecules,5000.000000,0.000000,5000.000000,5000.000000,3,"42,123,456"
RePO-Hard,LogP,valid_molecules,2737.333333,479.022268,1547.280010,3927.386657,3,"42,123,456"
RePO-Hard,LogP,validity,0.547467,0.095804,0.309456,0.785477,3,"42,123,456"
RePO-Hard,MR,similarity,0.925696,0.036219,0.835717,1.015675,3,"42,123,456"
RePO-Hard,MR,sr_x_sim,0.074214,0.015388,0.035985,0.112443,3,"42,123,456"
RePO-Hard,MR,success_rate,0.080667,0.019969,0.031056,0.130277,3,"42,123,456"
RePO-Hard,MR,successful_optimizations,403.333333,99.846549,155.280737,651.385930,3,"42,123,456"
RePO-Hard,MR,total_molecules,5000.000000,0.000000,5000.000000,5000.000000,3,"42,123,456"
RePO-Hard,MR,valid_molecules,3111.666667,448.152132,1998.305202,4225.028131,3,"42,123,456"
RePO-Hard,MR,validity,0.622333,0.089630,0.399661,0.845006,3,"42,123,456"
RePO-Hard,QED,similarity,0.929887,0.032858,0.848258,1.011517,3,"42,123,456"
RePO-Hard,QED,sr_x_sim,0.050412,0.011339,0.022242,0.078581,3,"42,123,456"
RePO-Hard,QED,success_rate,0.054533,0.014229,0.019185,0.089882,3,"42,123,456"
RePO-Hard,QED,successful_optimizations,272.666667,71.143048,95.923273,449.410060,3,"42,123,456"
RePO-Hard,QED,total_molecules,5000.000000,0.000000,5000.000000,5000.000000,3,"42,123,456"
RePO-Hard,QED,valid_molecules,3299.000000,470.698417,2129.625937,4468.374063,3,"42,123,456"
RePO-Hard,QED,validity,0.659800,0.094140,0.425925,0.893675,3,"42,123,456"
Zero-shot,LogP,similarity,0.736762,0.000000,0.736762,0.736762,1,
Zero-shot,LogP,sr_x_sim,0.170045,0.000000,0.170045,0.170045,1,
Zero-shot,LogP,success_rate,0.230800,0.000000,0.230800,0.230800,1,
Zero-shot,LogP,successful_optimizations,1154.000000,0.000000,1154.000000,1154.000000,1,
Zero-shot,LogP,total_molecules,5000.000000,0.000000,5000.000000,5000.000000,1,
Zero-shot,LogP,valid_molecules,2867.000000,0.000000,2867.000000,2867.000000,1,
Zero-shot,LogP,validity,0.573400,0.000000,0.573400,0.573400,1,
Zero-shot,MR,similarity,0.788470,0.000000,0.788470,0.788470,1,
Zero-shot,MR,sr_x_sim,0.131359,0.000000,0.131359,0.131359,1,
Zero-shot,MR,success_rate,0.166600,0.000000,0.166600,0.166600,1,
Zero-shot,MR,successful_optimizations,833.000000,0.000000,833.000000,833.000000,1,
Zero-shot,MR,total_molecules,5000.000000,0.000000,5000.000000,5000.000000,1,
Zero-shot,MR,valid_molecules,3128.000000,0.000000,3128.000000,3128.000000,1,
Zero-shot,MR,validity,0.625600,0.000000,0.625600,0.625600,1,
Zero-shot,QED,similarity,0.797954,0.000000,0.797954,0.797954,1,
Zero-shot,QED,sr_x_sim,0.111394,0.000000,0.111394,0.111394,1,
Zero-shot,QED,success_rate,0.139600,0.000000,0.139600,0.139600,1,
Zero-shot,QED,successful_optimizations,698.000000,0.000000,698.000000,698.000000,1,
Zero-shot,QED,total_molecules,5000.000000,0.000000,5000.000000,5000.000000,1,
Zero-shot,QED,valid_molecules,3326.000000,0.000000,3326.000000,3326.000000,1,
Zero-shot,QED,validity,0.665200,0.000000,0.665200,0.665200,1,
